"lon","lat"
129.25,-12.75
136.25,-12.25
100.517197,12.9906
155.75,-23.25
153.25,-24.75
151.75,-34.75
153.75,-24.75
154.75,-25.75
154.75,-28.25
160.25,-29.25
147.75,-18.75
155.75,-28.75
141.446333,13.698333
22.937506,-30.400085
-16.845966,14.173882
129.968333,-4.575
-80.07242,26.336714
140.275039,35.136631
140.95,-16.11667
128.61667,-11.01667
140.50903,-10.40111
139.69666,-12.99416
141.67,-11.92
133,-9.85
139.239995,-15.735
-90.394165,20.858889
91.96946,21.45262
-93.18333,29.52167
100.236237,7.649818
38.154,-17.295
60,-15
75.771173,11.249916
43.517,-23.333
104.833,1
39,20
13.25,31.283333
101.5,12.516667
116.116667,6
140.716,-16.8
148.333,-44.3
143.933,-9.75
132.517,-10.733
115.46667,-32
114.2,-27.7
121.920778,14.002702
103.803433,1.35843
125.213096,1.445594
86.879883,15.424054
115.219165,-20.4175
139.008335,-13.408335
122.158335,-15.21667
119.90833,-18.53333
115.11667,-21.63333
139.89208,-15.59222
133.82653,-6.634585
138.566805,-13.967775
134.7425,-10.66861
138.33444,-16.35139
138.666945,-14.52611
133.384165,-7.3925
124.275555,-13.951945
136.33333,-14.2
137.72001,-15.44333
132.47334,-10.89333
26.9,-33.599998
25.700001,-34.033333
32.866665,-26.883333
8.233333,4.4
-80.016667,30.966667
-9.734722,5.05
-7.8,4.3
12.666667,-6
-59.583493,13.070167
72.808991,18.930558
114.000034,22.239507
-86.916667,29.45
39.380425,-4.657911
147.65697,-19.80137
-52.366667,5.833333
-85.348401,29.666169
-80.9375,25.3125
-40.233333,-20.3
-74.095596,39.8335
130.75,-12.75
136.055222,-35.223675
-30.7328,21.4471
67.05,24.866667
58.485,25.313333
140.5,-11.4
125.75,-13.7
136.86667,-14.60833
-61.51,10.64
-93.863889,18.295
103,11.333333
104.483333,10.383333
112.5,12.5
-35,-15
122.5,15
-90.0304509071346,21.1658433158012
143.45,-9.683333
152.5,-24.883333
115.33333,-33.65
115.7,-33.266667
129.308,-10.115
112.765,-24.935
102.954167,7.091667
99.256667,10.442778
114.182477,22.448357
-82.088125,26.449908
124.025,-15.508335
120.375,-19.05
114.5,-21.5
137.38375,-9.725
141.084025,-15.475695
139.49347,-10.15861
135.7,-11.392775
113.07625,-24.47528
-75.533333,9.5
25.633333,-33.866665
121.23,23.05
120.76,21.96
